name,salary_from,salary_to,salary_currency,area_name,published_at
Тестировщик ПО,12000,,RUR,Москва,2022-12-17T21:08:04+0300
Системный администратор,80000,,RUR,Новосибирск,2022-12-17T17:56:31+0300
Frontend-программист React,,,,Нижний Новгород,2022-12-17T13:27:30+0300
Ведущий Java-разработчик (удалённо),,,,Москва,2022-12-17T07:19:17+0300
Начальник Управления Инфраструктуры,250000,,RUR,Москва,2022-12-17T16:45:34+0300
Системный администратор,80000,,RUR,Барнаул,2022-12-17T17:56:31+0300
Java Developer Trainee,,,,Казань,2022-12-17T13:28:03+0300
Дизайнер интерьеров,60000,,RUR,Владимир,2022-12-17T23:59:11+0300
Системный администратор,80000,,RUR,Горно-Алтайск,2022-12-17T17:56:31+0300
Начинающий IT специалист,50000,,RUR,Одинцово,2022-12-17T10:39:19+0300
Junior C# разработчик,,150000,RUR,Курган,2022-12-17T12:23:48+0300
Руководитель образовательного проекта,34500,,RUR,Екатеринбург,2022-12-17T10:09:52+0300
Операционный директор (Управленец),,,,Нижний Новгород,2022-12-17T14:21:43+0300
Community manager,,,,Минск,2022-12-17T00:49:53+0300
"Инженер-программист, удаленно",100000,150000,RUR,Москва,2022-12-17T11:34:33+0300
Руководитель проектов,100000,,RUR,Москва,2022-12-17T17:49:43+0300
Графический дизайнер,250000,,KZT,Алматы,2022-12-17T12:14:16+0300
React TypeScript Middle разработчик,500,,USD,Ташкент,2022-12-17T14:01:47+0300
Директор по разработке,,,,Москва,2022-12-17T19:56:20+0300
Оператор станков с ЧПУ,120000,,RUR,Москва,2022-12-17T13:43:52+0300
Механик участка,175000,175000,RUR,Иркутск,2022-12-17T04:50:21+0300
Инженер по тестированию (QA),,,,Санкт-Петербург,2022-12-17T14:32:33+0300
Android Developer,,,,Димитровград,2022-12-17T12:54:10+0300
Начальник автоколонны,,,,Богучаны,2022-12-17T12:46:01+0300
Выездной сервисный инженер,,,,Тверь,2022-12-17T12:37:16+0300
Менеджер по комплектации / Менеджер проектов (сфера дизайн интерьера),,,,Москва,2022-12-17T00:24:14+0300
Администратор баз данных,21500,,RUR,Иваново (Ивановская область),2022-12-17T17:30:31+0300
Web-разработчик (frontend),,,,Омск,2022-12-17T12:17:34+0300
Специалист группы поддержки,,,,Санкт-Петербург,2022-12-17T12:09:41+0300
Системный администратор,80000,,RUR,Томск,2022-12-17T17:56:31+0300
Вackend developer Python,150000,,RUR,Москва,2022-12-17T14:26:27+0300
Python automation developer,50000,120000,RUR,Москва,2022-12-17T11:09:15+0300
Специалист второй линии поддержки,,,,Ростов-на-Дону,2022-12-17T11:58:53+0300
